"lab","sample","concentration","method","transit_time"
253,548,95.7,"Siemens ADVIA Centaur",9
253,549,71,"Siemens ADVIA Centaur",9
253,550,32.2,"Siemens ADVIA Centaur",9
254,546,48.4,"LC-MS-MS",4
254,547,69.6,"LC-MS-MS",4
254,548,88.1,"LC-MS-MS",4
254,549,57.7,"LC-MS-MS",4
254,550,22.7,"LC-MS-MS",4
255,546,53.8,"DiaSorin Liaison Total",7
255,547,76.5,"DiaSorin Liaison Total",7
255,548,89.3,"DiaSorin Liaison Total",7
255,549,71.3,"DiaSorin Liaison Total",7
255,550,27,"DiaSorin Liaison Total",7
256,546,59.8,"DiaSorin Liaison Total",4
256,547,78.3,"DiaSorin Liaison Total",4
256,548,100.5,"DiaSorin Liaison Total",4
256,549,68.8,"DiaSorin Liaison Total",4
256,550,30.5,"DiaSorin Liaison Total",4
257,546,47,"Abbott Architect - New (5P02)",4
257,547,68,"Abbott Architect - New (5P02)",4
257,548,94,"Abbott Architect - New (5P02)",4
257,549,56,"Abbott Architect - New (5P02)",4
257,550,20,"Abbott Architect - New (5P02)",4
258,546,49.6,"Roche Total 25OHD",4
258,547,73,"Roche Total 25OHD",4
258,548,86.2,"Roche Total 25OHD",4
258,549,57.7,"Roche Total 25OHD",4
258,550,28.6,"Roche Total 25OHD",4
259,546,63.3,"DiaSorin Liaison Total",4
259,547,84.8,"DiaSorin Liaison Total",4
259,548,108.3,"DiaSorin Liaison Total",4
259,549,80,"DiaSorin Liaison Total",4
259,550,34.8,"DiaSorin Liaison Total",4
260,546,45,"LC-MS-MS",7
260,547,72.5,"LC-MS-MS",7
260,548,82.5,"LC-MS-MS",7
260,549,60,"LC-MS-MS",7
260,550,22.5,"LC-MS-MS",7
261,546,51,"Roche Vitamin D Total II",2
261,547,72.4,"Roche Vitamin D Total II",2
261,548,89.8,"Roche Vitamin D Total II",2
261,549,67,"Roche Vitamin D Total II",2
261,550,26.5,"Roche Vitamin D Total II",2
262,546,61,"LC-MS-MS",8
262,547,84.5,"LC-MS-MS",8
262,548,97.5,"LC-MS-MS",8
262,549,79,"LC-MS-MS",8
262,550,27.3,"LC-MS-MS",8
263,546,52.6,"Roche Vitamin D Total II",1
263,547,78.4,"Roche Vitamin D Total II",1
263,548,93.6,"Roche Vitamin D Total II",1
263,549,69.6,"Roche Vitamin D Total II",1
263,550,28.5,"Roche Vitamin D Total II",1
264,546,61,"LC-MS-MS",1
264,547,90,"LC-MS-MS",1
264,548,101,"LC-MS-MS",1
264,549,75,"LC-MS-MS",1
264,550,23,"LC-MS-MS",1
265,546,50,"Roche Vitamin D Total II",1
265,547,70,"Roche Vitamin D Total II",1
265,548,85,"Roche Vitamin D Total II",1
265,549,60,"Roche Vitamin D Total II",1
265,550,27,"Roche Vitamin D Total II",1
266,546,60,"DiaSorin Liaison Total",8
266,547,78.5,"DiaSorin Liaison Total",8
266,548,94.8,"DiaSorin Liaison Total",8
266,549,69.8,"DiaSorin Liaison Total",8
266,550,31.2,"DiaSorin Liaison Total",8
267,546,62.5,"Roche Total 25OHD",3
267,547,102.5,"Roche Total 25OHD",3
267,548,117.5,"Roche Total 25OHD",3
267,549,70,"Roche Total 25OHD",3
267,550,30,"Roche Total 25OHD",3
268,546,43.1,"DBC 25OH Vit D ELISA",3
268,547,59.9,"DBC 25OH Vit D ELISA",3
268,548,66.5,"DBC 25OH Vit D ELISA",3
268,549,47.9,"DBC 25OH Vit D ELISA",3
268,550,19.1,"DBC 25OH Vit D ELISA",3
269,546,45,"Beckman Unicel Dxi Total 25OHD",1
269,547,68,"Beckman Unicel Dxi Total 25OHD",1
269,548,86,"Beckman Unicel Dxi Total 25OHD",1
269,549,55,"Beckman Unicel Dxi Total 25OHD",1
269,550,26,"Beckman Unicel Dxi Total 25OHD",1
270,546,78.6,"LC-MS-MS",1
270,547,110,"LC-MS-MS",1
270,548,135,"LC-MS-MS",1
270,549,101.6,"LC-MS-MS",1
270,550,37.9,"LC-MS-MS",1
271,546,51.3,"Abbott Alinity i",10
271,547,75,"Abbott Alinity i",10
271,548,97.2,"Abbott Alinity i",10
271,549,62.5,"Abbott Alinity i",10
271,550,22,"Abbott Alinity i",10
272,546,46.8,"Roche Vitamin D Total II",15
272,547,61,"Roche Vitamin D Total II",15
272,548,78.3,"Roche Vitamin D Total II",15
272,549,52.5,"Roche Vitamin D Total II",15
272,550,22.9,"Roche Vitamin D Total II",15
273,546,47.5,"Abbott Architect - New (5P02)",6
273,547,70,"Abbott Architect - New (5P02)",6
273,548,87.5,"Abbott Architect - New (5P02)",6
273,549,60,"Abbott Architect - New (5P02)",6
273,550,20,"Abbott Architect - New (5P02)",6
274,546,47.5,"LC-MS-MS",4
274,547,70.5,"LC-MS-MS",4
274,548,83.7,"LC-MS-MS",4
274,549,57.7,"LC-MS-MS",4
274,550,23.7,"LC-MS-MS",4
275,546,56,"Roche Total 25OHD",10
275,547,90,"Roche Total 25OHD",10
275,548,104,"Roche Total 25OHD",10
275,549,65,"Roche Total 25OHD",10
275,550,25,"Roche Total 25OHD",10
276,546,54,"Roche Vitamin D Total II",1
276,547,73.9,"Roche Vitamin D Total II",1
276,548,90.5,"Roche Vitamin D Total II",1
276,549,67.8,"Roche Vitamin D Total II",1
276,550,33.5,"Roche Vitamin D Total II",1
277,546,55.3,"DiaSorin Liaison Total",14
277,547,81.8,"DiaSorin Liaison Total",14
277,548,93,"DiaSorin Liaison Total",14
277,549,73.3,"DiaSorin Liaison Total",14
277,550,29.5,"DiaSorin Liaison Total",14
278,546,46,"LC-MS-MS",7
278,547,78,"LC-MS-MS",7
278,548,80,"LC-MS-MS",7
278,549,58,"LC-MS-MS",7
278,550,31,"LC-MS-MS",7
279,546,51.4,"Roche Total 25OHD",14
279,547,77.9,"Roche Total 25OHD",14
279,548,95.6,"Roche Total 25OHD",14
279,549,58.5,"Roche Total 25OHD",14
279,550,23.7,"Roche Total 25OHD",14
280,546,54.5,"LC-MS-MS",4
280,547,75.1,"LC-MS-MS",4
280,548,89.5,"LC-MS-MS",4
280,549,59.4,"LC-MS-MS",4
280,550,30.1,"LC-MS-MS",4
281,546,49.9,"Roche Total 25OHD",8
281,547,69.9,"Roche Total 25OHD",8
281,548,82.9,"Roche Total 25OHD",8
281,549,57.9,"Roche Total 25OHD",8
281,550,29.2,"Roche Total 25OHD",8
282,546,49.8,"Abbott Architect - New (5P02)",15
282,547,72.8,"Abbott Architect - New (5P02)",15
282,548,90.5,"Abbott Architect - New (5P02)",15
282,549,57.8,"Abbott Architect - New (5P02)",15
282,550,23.5,"Abbott Architect - New (5P02)",15
283,546,55.5,"Roche Vitamin D Total II",7
283,547,69.3,"Roche Vitamin D Total II",7
283,548,91.5,"Roche Vitamin D Total II",7
283,549,62.9,"Roche Vitamin D Total II",7
283,550,24.6,"Roche Vitamin D Total II",7
284,546,54.3,"Roche Total 25OHD",7
284,547,79.8,"Roche Total 25OHD",7
284,548,98,"Roche Total 25OHD",7
284,549,60.7,"Roche Total 25OHD",7
284,550,24.4,"Roche Total 25OHD",7
285,546,51.3,"Roche Vitamin D Total II",4
285,547,71.8,"Roche Vitamin D Total II",4
285,548,84.2,"Roche Vitamin D Total II",4
285,549,62.3,"Roche Vitamin D Total II",4
285,550,26.8,"Roche Vitamin D Total II",4
286,546,53.7,"Roche Vitamin D Total II",14
286,547,72.2,"Roche Vitamin D Total II",14
286,548,85.7,"Roche Vitamin D Total II",14
286,549,63,"Roche Vitamin D Total II",14
286,550,26.7,"Roche Vitamin D Total II",14
287,546,53,"Roche Total 25OHD",6
287,547,74.5,"Roche Total 25OHD",6
287,548,84.2,"Roche Total 25OHD",6
287,549,62.2,"Roche Total 25OHD",6
287,550,28.2,"Roche Total 25OHD",6
288,546,51,"Roche Vitamin D Total II",10
288,547,81,"Roche Vitamin D Total II",10
288,548,90,"Roche Vitamin D Total II",10
288,549,67,"Roche Vitamin D Total II",10
288,550,29,"Roche Vitamin D Total II",10
289,546,49.8,"Roche Total 25OHD",10
289,547,76.8,"Roche Total 25OHD",10
289,548,94.4,"Roche Total 25OHD",10
289,549,55,"Roche Total 25OHD",10
289,550,20.7,"Roche Total 25OHD",10
290,546,50.3,"DiaSorin Liaison Total",7
290,547,69,"DiaSorin Liaison Total",7
290,548,90.3,"DiaSorin Liaison Total",7
290,549,64.5,"DiaSorin Liaison Total",7
290,550,27,"DiaSorin Liaison Total",7
291,546,50.9,"Euroimmun ELISA",7
291,547,71.8,"Euroimmun ELISA",7
291,548,81.8,"Euroimmun ELISA",7
291,549,52,"Euroimmun ELISA",7
291,550,24,"Euroimmun ELISA",7
292,546,54.3,"LC-MS-MS",7
292,547,72.5,"LC-MS-MS",7
292,548,91.8,"LC-MS-MS",7
292,549,65.5,"LC-MS-MS",7
292,550,23.3,"LC-MS-MS",7
293,546,57.8,"DiaSorin Liaison Total",8
293,547,77,"DiaSorin Liaison Total",8
293,548,102,"DiaSorin Liaison Total",8
293,549,73,"DiaSorin Liaison Total",8
293,550,28.8,"DiaSorin Liaison Total",8
294,546,56,"Siemens ADVIA Centaur",7
294,547,86,"Siemens ADVIA Centaur",7
294,548,97,"Siemens ADVIA Centaur",7
294,549,72,"Siemens ADVIA Centaur",7
294,550,32,"Siemens ADVIA Centaur",7
295,546,54,"Roche Vitamin D Total II",7
295,547,74,"Roche Vitamin D Total II",7
295,548,88,"Roche Vitamin D Total II",7
295,549,65,"Roche Vitamin D Total II",7
295,550,30,"Roche Vitamin D Total II",7
296,546,52.3,"DiaSorin Liaison Total",7
296,547,70.3,"DiaSorin Liaison Total",7
296,548,87,"DiaSorin Liaison Total",7
296,549,62.5,"DiaSorin Liaison Total",7
296,550,27.3,"DiaSorin Liaison Total",7
297,546,42.8,"Beckman Unicel Dxi Total 25OHD",3
297,547,72.9,"Beckman Unicel Dxi Total 25OHD",3
297,548,79.9,"Beckman Unicel Dxi Total 25OHD",3
297,549,57.6,"Beckman Unicel Dxi Total 25OHD",3
297,550,23,"Beckman Unicel Dxi Total 25OHD",3
298,546,54.2,"DiaSorin Liaison Total",28
298,547,65.5,"DiaSorin Liaison Total",28
298,548,85.2,"DiaSorin Liaison Total",28
298,549,56.9,"DiaSorin Liaison Total",28
298,550,28.1,"DiaSorin Liaison Total",28
299,546,55,"DiaSorin Liaison Total",6
299,547,72.5,"DiaSorin Liaison Total",6
299,548,87.5,"DiaSorin Liaison Total",6
299,549,65,"DiaSorin Liaison Total",6
299,550,27.5,"DiaSorin Liaison Total",6
300,546,45.5,"Abbott Architect - New (5P02)",21
300,547,65.6,"Abbott Architect - New (5P02)",21
300,548,84.5,"Abbott Architect - New (5P02)",21
300,549,55,"Abbott Architect - New (5P02)",21
300,550,19.5,"Abbott Architect - New (5P02)",21
301,546,60.7,"LC-MS-MS",22
301,547,71.8,"LC-MS-MS",22
301,548,92.3,"LC-MS-MS",22
301,549,62.2,"LC-MS-MS",22
301,550,28.9,"LC-MS-MS",22
302,546,56.2,"DiaSorin Liaison Total",5
302,547,76.2,"DiaSorin Liaison Total",5
302,548,89.6,"DiaSorin Liaison Total",5
302,549,71.3,"DiaSorin Liaison Total",5
302,550,28.2,"DiaSorin Liaison Total",5
303,546,56.7,"DiaSorin Liaison Total",7
303,547,77.6,"DiaSorin Liaison Total",7
303,548,94.2,"DiaSorin Liaison Total",7
303,549,67.4,"DiaSorin Liaison Total",7
303,550,25.5,"DiaSorin Liaison Total",7
304,546,56,"DiaSorin Liaison Total",11
304,547,72.8,"DiaSorin Liaison Total",11
304,548,97,"DiaSorin Liaison Total",11
304,549,70.5,"DiaSorin Liaison Total",11
304,550,31,"DiaSorin Liaison Total",11
305,546,57.5,"DiaSorin Liaison Total",10
305,547,75,"DiaSorin Liaison Total",10
305,548,92.5,"DiaSorin Liaison Total",10
305,549,65,"DiaSorin Liaison Total",10
305,550,30,"DiaSorin Liaison Total",10
306,546,48.5,"Abbott Architect - New (5P02)",6
306,547,70.5,"Abbott Architect - New (5P02)",6
306,548,91.8,"Abbott Architect - New (5P02)",6
306,549,61,"Abbott Architect - New (5P02)",6
306,550,23,"Abbott Architect - New (5P02)",6
307,546,50.3,"DiaSorin Liaison Total",5
307,547,67.5,"DiaSorin Liaison Total",5
307,548,87.3,"DiaSorin Liaison Total",5
307,549,64.3,"DiaSorin Liaison Total",5
307,550,26.8,"DiaSorin Liaison Total",5
308,546,54.4,"Beckman Unicel Dxi Total 25OHD",14
308,547,80.2,"Beckman Unicel Dxi Total 25OHD",14
308,548,85,"Beckman Unicel Dxi Total 25OHD",14
308,549,61.4,"Beckman Unicel Dxi Total 25OHD",14
308,550,33.8,"Beckman Unicel Dxi Total 25OHD",14
309,546,47.8,"Roche Vitamin D Total II",13
309,547,68.8,"Roche Vitamin D Total II",13
309,548,85.5,"Roche Vitamin D Total II",13
309,549,62.8,"Roche Vitamin D Total II",13
309,550,26.5,"Roche Vitamin D Total II",13
310,546,56.6,"IDS-iSYS",11
310,547,70.8,"IDS-iSYS",11
310,548,94.9,"IDS-iSYS",11
310,549,69.5,"IDS-iSYS",11
310,550,19.9,"IDS-iSYS",11
311,546,59.3,"IDS-iSYS",7
311,547,78.3,"IDS-iSYS",7
311,548,93.5,"IDS-iSYS",7
311,549,64.3,"IDS-iSYS",7
311,550,27.5,"IDS-iSYS",7
312,546,53,"LC-MS-MS",7
312,547,71,"LC-MS-MS",7
312,548,89,"LC-MS-MS",7
312,549,59,"LC-MS-MS",7
312,550,26,"LC-MS-MS",7
313,546,48.8,"Abbott Architect - New (5P02)",4
313,547,67.3,"Abbott Architect - New (5P02)",4
313,548,91.5,"Abbott Architect - New (5P02)",4
313,549,56.8,"Abbott Architect - New (5P02)",4
313,550,23,"Abbott Architect - New (5P02)",4
314,546,61,"LC-MS-MS",10
314,547,85,"LC-MS-MS",10
314,548,103,"LC-MS-MS",10
314,549,73,"LC-MS-MS",10
314,550,31,"LC-MS-MS",10
315,546,56.9,"Siemens ADVIA Centaur",7
315,547,71.8,"Siemens ADVIA Centaur",7
315,548,95.7,"Siemens ADVIA Centaur",7
315,549,62.3,"Siemens ADVIA Centaur",7
315,550,37.9,"Siemens ADVIA Centaur",7
316,546,51,"Abbott Architect - New (5P02)",8
316,547,72.8,"Abbott Architect - New (5P02)",8
316,548,89.3,"Abbott Architect - New (5P02)",8
316,549,61.5,"Abbott Architect - New (5P02)",8
316,550,24,"Abbott Architect - New (5P02)",8
317,546,56.3,"DiaSorin Liaison Total",7
317,547,75.3,"DiaSorin Liaison Total",7
317,548,97.8,"DiaSorin Liaison Total",7
317,549,67.8,"DiaSorin Liaison Total",7
317,550,26.8,"DiaSorin Liaison Total",7
318,546,55,"DiaSorin Liaison Total",7
318,547,67.5,"DiaSorin Liaison Total",7
318,548,77.5,"DiaSorin Liaison Total",7
318,549,62.5,"DiaSorin Liaison Total",7
318,550,25,"DiaSorin Liaison Total",7
319,546,53,"Siemens ADVIA Centaur",8
319,547,66.5,"Siemens ADVIA Centaur",8
319,548,92.4,"Siemens ADVIA Centaur",8
319,549,72.8,"Siemens ADVIA Centaur",8
319,550,26.2,"Siemens ADVIA Centaur",8
320,546,65.3,"HPLC",9
320,547,119.3,"HPLC",9
320,548,108.5,"HPLC",9
320,549,61.8,"HPLC",9
320,550,35.5,"HPLC",9
321,546,45.4,"HPLC",7
321,547,78,"HPLC",7
321,548,92.1,"HPLC",7
321,549,64.5,"HPLC",7
321,550,24.9,"HPLC",7
322,546,48,"IDS EIA",11
322,547,83,"IDS EIA",11
322,548,95,"IDS EIA",11
322,549,68,"IDS EIA",11
322,550,30,"IDS EIA",11
323,546,47,"Abbott Architect - New (5P02)",7
323,547,67,"Abbott Architect - New (5P02)",7
323,548,87,"Abbott Architect - New (5P02)",7
323,549,58,"Abbott Architect - New (5P02)",7
323,550,20,"Abbott Architect - New (5P02)",7
324,546,58.5,"Roche Total 25OHD",21
324,547,84.4,"Roche Total 25OHD",21
324,548,97.9,"Roche Total 25OHD",21
324,549,63.5,"Roche Total 25OHD",21
324,550,23.7,"Roche Total 25OHD",21
325,546,49.5,"DiaSorin Liaison Total",11
325,547,66.3,"DiaSorin Liaison Total",11
325,548,88.1,"DiaSorin Liaison Total",11
325,549,66,"DiaSorin Liaison Total",11
325,550,27.6,"DiaSorin Liaison Total",11
326,546,41.3,"IDS EIA",7
326,547,56.7,"IDS EIA",7
326,548,66.1,"IDS EIA",7
326,549,52.1,"IDS EIA",7
326,550,26.3,"IDS EIA",7
327,546,61.6,"LC-MS-MS",1
327,547,74.1,"LC-MS-MS",1
327,548,96.6,"LC-MS-MS",1
327,549,63,"LC-MS-MS",1
327,550,24.7,"LC-MS-MS",1
328,546,52.1,"IDS EIA",4
328,547,66.3,"IDS EIA",4
328,548,81.9,"IDS EIA",4
328,549,62.8,"IDS EIA",4
328,550,33.5,"IDS EIA",4
329,546,50.4,"Roche Total 25OHD",1
329,547,82,"Roche Total 25OHD",1
329,548,95.5,"Roche Total 25OHD",1
329,549,56.3,"Roche Total 25OHD",1
329,550,21.7,"Roche Total 25OHD",1
330,546,49.7,"LC-MS-MS",7
330,547,64.4,"LC-MS-MS",7
330,548,82.3,"LC-MS-MS",7
330,549,64.1,"LC-MS-MS",7
330,550,23.8,"LC-MS-MS",7
331,546,53,"LC-MS-MS",7
331,547,70,"LC-MS-MS",7
331,548,87,"LC-MS-MS",7
331,549,60,"LC-MS-MS",7
331,550,25,"LC-MS-MS",7
332,546,48.2,"LC-MS-MS",1
332,547,72.7,"LC-MS-MS",1
332,548,90.3,"LC-MS-MS",1
332,549,60.8,"LC-MS-MS",1
332,550,27.5,"LC-MS-MS",1
333,546,52.3,"Abbott Architect - New (5P02)",1
333,547,74.8,"Abbott Architect - New (5P02)",1
333,548,101,"Abbott Architect - New (5P02)",1
333,549,62.7,"Abbott Architect - New (5P02)",1
333,550,23.8,"Abbott Architect - New (5P02)",1
334,546,58.8,"DiaSorin Liaison Total",8
334,547,76.3,"DiaSorin Liaison Total",8
334,548,100.5,"DiaSorin Liaison Total",8
334,549,72,"DiaSorin Liaison Total",8
334,550,31.5,"DiaSorin Liaison Total",8
335,546,55,"Abbott Architect - New (5P02)",22
335,547,79.5,"Abbott Architect - New (5P02)",22
335,548,100.1,"Abbott Architect - New (5P02)",22
335,549,69.5,"Abbott Architect - New (5P02)",22
335,550,24.3,"Abbott Architect - New (5P02)",22
336,546,55.6,"Tosoh AIA",4
336,547,84.1,"Tosoh AIA",4
336,548,94.8,"Tosoh AIA",4
336,549,62.9,"Tosoh AIA",4
336,550,23.6,"Tosoh AIA",4
337,546,47.4,"Roche Vitamin D Total II",7
337,547,66.9,"Roche Vitamin D Total II",7
337,548,84.6,"Roche Vitamin D Total II",7
337,549,55.5,"Roche Vitamin D Total II",7
337,550,23.6,"Roche Vitamin D Total II",7
338,546,46,"Unknown",1
338,547,56,"Unknown",1
338,548,69,"Unknown",1
338,549,52,"Unknown",1
338,550,30,"Unknown",1
339,546,57.8,"Roche Total 25OHD",3
339,547,87.5,"Roche Total 25OHD",3
339,548,103.5,"Roche Total 25OHD",3
339,549,67.1,"Roche Total 25OHD",3
339,550,25.5,"Roche Total 25OHD",3
340,546,62,"DiaSorin Liaison Total",7
340,547,80,"DiaSorin Liaison Total",7
340,548,98,"DiaSorin Liaison Total",7
340,549,66,"DiaSorin Liaison Total",7
340,550,29,"DiaSorin Liaison Total",7
341,546,54.3,"Abbott Architect - New (5P02)",7
341,547,74.3,"Abbott Architect - New (5P02)",7
341,548,95.1,"Abbott Architect - New (5P02)",7
341,549,62.6,"Abbott Architect - New (5P02)",7
341,550,24.1,"Abbott Architect - New (5P02)",7
342,546,45.1,"Roche Total 25OHD",12
342,547,72.9,"Roche Total 25OHD",12
342,548,84.7,"Roche Total 25OHD",12
342,549,50.5,"Roche Total 25OHD",12
342,550,18.9,"Roche Total 25OHD",12
343,546,55.5,"Siemens ADVIA Centaur",7
343,547,62.5,"Siemens ADVIA Centaur",7
343,548,79.5,"Siemens ADVIA Centaur",7
343,549,57.5,"Siemens ADVIA Centaur",7
343,550,25.3,"Siemens ADVIA Centaur",7
344,546,47.5,"Roche Vitamin D Total II",10
344,547,67.5,"Roche Vitamin D Total II",10
344,548,77.5,"Roche Vitamin D Total II",10
344,549,57.5,"Roche Vitamin D Total II",10
344,550,25,"Roche Vitamin D Total II",10
345,546,51.7,"Abbott Architect - New (5P02)",2
345,547,73.7,"Abbott Architect - New (5P02)",2
345,548,94.7,"Abbott Architect - New (5P02)",2
345,549,61.3,"Abbott Architect - New (5P02)",2
345,550,23,"Abbott Architect - New (5P02)",2
346,546,54.3,"LC-MS-MS",1
346,547,78.1,"LC-MS-MS",1
346,548,94.9,"LC-MS-MS",1
346,549,66.2,"LC-MS-MS",1
346,550,32.3,"LC-MS-MS",1
347,546,57,"Siemens ADVIA Centaur",1
347,547,74,"Siemens ADVIA Centaur",1
347,548,97,"Siemens ADVIA Centaur",1
347,549,55,"Siemens ADVIA Centaur",1
347,550,34,"Siemens ADVIA Centaur",1
348,546,47.7,"Roche Total 25OHD",9
348,547,66.4,"Roche Total 25OHD",9
348,548,75.3,"Roche Total 25OHD",9
348,549,58,"Roche Total 25OHD",9
348,550,23.6,"Roche Total 25OHD",9
349,546,51.9,"Roche Total 25OHD",4
349,547,73.1,"Roche Total 25OHD",4
349,548,89.5,"Roche Total 25OHD",4
349,549,61.2,"Roche Total 25OHD",4
349,550,28.8,"Roche Total 25OHD",4
350,546,47.7,"Roche Total 25OHD",7
350,547,70,"Roche Total 25OHD",7
350,548,80,"Roche Total 25OHD",7
350,549,59.4,"Roche Total 25OHD",7
350,550,25.5,"Roche Total 25OHD",7
351,546,48,"Roche Vitamin D Total II",7
351,547,69.8,"Roche Vitamin D Total II",7
351,548,91.3,"Roche Vitamin D Total II",7
351,549,61,"Roche Vitamin D Total II",7
351,550,26.8,"Roche Vitamin D Total II",7
352,546,36.2,"Avioq VioOne 25-OH-Vit-D",35
352,547,58.2,"Avioq VioOne 25-OH-Vit-D",35
352,548,61.8,"Avioq VioOne 25-OH-Vit-D",35
352,549,46,"Avioq VioOne 25-OH-Vit-D",35
352,550,15.1,"Avioq VioOne 25-OH-Vit-D",35
353,546,52,"Roche Total 25OHD",1
353,547,71,"Roche Total 25OHD",1
353,548,85,"Roche Total 25OHD",1
353,549,60,"Roche Total 25OHD",1
353,550,24,"Roche Total 25OHD",1
354,546,66.7,"LC-MS-MS",10
354,547,76.6,"LC-MS-MS",10
354,548,109.8,"LC-MS-MS",10
354,549,60.4,"LC-MS-MS",10
354,550,28,"LC-MS-MS",10
355,546,62.3,"DiaSorin Liaison Total",7
355,547,93,"DiaSorin Liaison Total",7
355,548,109.5,"DiaSorin Liaison Total",7
355,549,85.3,"DiaSorin Liaison Total",7
355,550,29.8,"DiaSorin Liaison Total",7
356,546,52.4,"Siemens ADVIA Centaur",12
356,547,65.1,"Siemens ADVIA Centaur",12
356,548,72.2,"Siemens ADVIA Centaur",12
356,549,58.5,"Siemens ADVIA Centaur",12
356,550,31.6,"Siemens ADVIA Centaur",12
357,546,45.8,"Roche Vitamin D Total II",3
357,547,69.1,"Roche Vitamin D Total II",3
357,548,82.2,"Roche Vitamin D Total II",3
357,549,55.4,"Roche Vitamin D Total II",3
357,550,21.4,"Roche Vitamin D Total II",3
358,546,50,"Abbott Architect - New (5P02)",7
358,547,70.3,"Abbott Architect - New (5P02)",7
358,548,92.8,"Abbott Architect - New (5P02)",7
358,549,61.3,"Abbott Architect - New (5P02)",7
358,550,23.3,"Abbott Architect - New (5P02)",7
359,546,47.5,"Roche Vitamin D Total II",6
359,547,65,"Roche Vitamin D Total II",6
359,548,77.5,"Roche Vitamin D Total II",6
359,549,55,"Roche Vitamin D Total II",6
359,550,22.5,"Roche Vitamin D Total II",6
360,546,55.3,"LC-MS-MS",14
360,547,75.3,"LC-MS-MS",14
360,548,85.6,"LC-MS-MS",14
360,549,65.5,"LC-MS-MS",14
360,550,23.9,"LC-MS-MS",14
361,546,53.9,"Abbott Architect - New (5P02)",19
361,547,75.4,"Abbott Architect - New (5P02)",19
361,548,99.4,"Abbott Architect - New (5P02)",19
361,549,64.4,"Abbott Architect - New (5P02)",19
361,550,24.3,"Abbott Architect - New (5P02)",19
362,546,53,"Siemens ADVIA Centaur",3
362,547,68.4,"Siemens ADVIA Centaur",3
362,548,91.8,"Siemens ADVIA Centaur",3
362,549,65.6,"Siemens ADVIA Centaur",3
362,550,32,"Siemens ADVIA Centaur",3
363,546,63.6,"Siemens ADVIA Centaur",4
363,547,72.8,"Siemens ADVIA Centaur",4
363,548,87.3,"Siemens ADVIA Centaur",4
363,549,56.3,"Siemens ADVIA Centaur",4
363,550,28.3,"Siemens ADVIA Centaur",4
364,546,65,"Siemens ADVIA Centaur",4
364,547,69,"Siemens ADVIA Centaur",4
364,548,92,"Siemens ADVIA Centaur",4
364,549,61,"Siemens ADVIA Centaur",4
364,550,31,"Siemens ADVIA Centaur",4
365,546,56.3,"Roche Total 25OHD",4
365,547,75.3,"Roche Total 25OHD",4
365,548,90.3,"Roche Total 25OHD",4
365,549,66.5,"Roche Total 25OHD",4
365,550,29.8,"Roche Total 25OHD",4
366,546,48,"Abbott Architect - New (5P02)",1
366,547,68,"Abbott Architect - New (5P02)",1
366,548,93,"Abbott Architect - New (5P02)",1
366,549,63,"Abbott Architect - New (5P02)",1
366,550,20,"Abbott Architect - New (5P02)",1
367,546,63,"IDS-iSYS",14
367,547,70,"IDS-iSYS",14
367,548,91,"IDS-iSYS",14
367,549,66,"IDS-iSYS",14
367,550,36,"IDS-iSYS",14
368,546,48.5,"LC-MS-MS",7
368,547,70.3,"LC-MS-MS",7
368,548,83.8,"LC-MS-MS",7
368,549,58.5,"LC-MS-MS",7
368,550,23.5,"LC-MS-MS",7
369,546,56,"Roche Total 25OHD",8
369,547,89,"Roche Total 25OHD",8
369,548,106,"Roche Total 25OHD",8
369,549,65,"Roche Total 25OHD",8
369,550,25,"Roche Total 25OHD",8
370,546,47.8,"LC-MS-MS",4
370,547,62.8,"LC-MS-MS",4
370,548,83.5,"LC-MS-MS",4
370,549,52.3,"LC-MS-MS",4
370,550,21.8,"LC-MS-MS",4
371,546,55.7,"DiaSorin Liaison Total",7
371,547,72.9,"DiaSorin Liaison Total",7
371,548,90.2,"DiaSorin Liaison Total",7
371,549,68.6,"DiaSorin Liaison Total",7
371,550,27.7,"DiaSorin Liaison Total",7
372,546,53.7,"LC-MS-MS",3
372,547,74.2,"LC-MS-MS",3
372,548,93.7,"LC-MS-MS",3
372,549,67.5,"LC-MS-MS",3
372,550,24,"LC-MS-MS",3
373,546,56,"DiaSorin Liaison Total",4
373,547,78.5,"DiaSorin Liaison Total",4
373,548,100.8,"DiaSorin Liaison Total",4
373,549,71,"DiaSorin Liaison Total",4
373,550,28.5,"DiaSorin Liaison Total",4
374,546,52,"IDS-iSYS New",8
374,547,67,"IDS-iSYS New",8
374,548,85,"IDS-iSYS New",8
374,549,56,"IDS-iSYS New",8
374,550,25,"IDS-iSYS New",8
375,546,47.3,"IDS-iSYS",4
375,547,63.3,"IDS-iSYS",4
375,548,80,"IDS-iSYS",4
375,549,61.3,"IDS-iSYS",4
375,550,20.8,"IDS-iSYS",4
376,546,62.8,"DiaSorin Liaison Total",8
376,547,86,"DiaSorin Liaison Total",8
376,548,111.8,"DiaSorin Liaison Total",8
376,549,75.8,"DiaSorin Liaison Total",8
376,550,32,"DiaSorin Liaison Total",8
377,546,57.3,"DRG ELISA",8
377,547,63.3,"DRG ELISA",8
377,548,87.3,"DRG ELISA",8
377,549,52.8,"DRG ELISA",8
377,550,13.2,"DRG ELISA",8
378,546,73.9,"Siemens ADVIA Centaur",4
378,547,92.7,"Siemens ADVIA Centaur",4
